ID;CATEGORY;NAME;ATTRIBUTE1;ATTRIBUTE2;VALUE1;VALUE2;DESCRIPTION;BRAND;FEATURE;PRICE;PVP_BIGBUY;PVD;IVA;VIDEO;EAN13;WIDTH;HEIGHT;DEPTH;WEIGHT;STOCK;DATE_ADD;DATE_UPD;IMAGE1;IMAGE2;IMAGE3;IMAGE4;IMAGE5;IMAGE6;IMAGE7;IMAGE8;IMAGE_ENERGY_EFFICIENCY;CONDITION;INTRASTAT
S7196380;2662,2684;"Ball Infantino";;;;;"Children deserve the best, that's why we present to you <b>Ball Infantino</b>, ideal for those who seek quality products for their little ones! Get <b>Infantino</b> and other brands and licences at the best prices!<br><br><ul><li>Type: <ul><li>Ball</li><li>Children's</li></ul></li><li>Colour: White</li><li>Material: Plastic</li><li>Characteristics: Sound effects</li><li>Battery operated: Yes</li><li>Batteries included: Yes</li><li>Recommended age: <ul><li>+ 10 Months</li><li>Children's</li></ul></li><li>Gender: Unisex</li></ul>";15678;;37.4;28.05;23;21;0;3021105052173;14;20.3;15.4;0.44;10;"2024-12-24 18:37:12";"2025-01-24 00:44:06";https://cdnbigbuy.com/images/3021105052173_S7196380_P50.jpg;https://cdnbigbuy.com/images/3021105052173_S7196380_P00.jpg;https://cdnbigbuy.com/images/3021105052173_S7196380_P10.jpg;https://cdnbigbuy.com/images/3021105052173_S7196380_P20.jpg;https://cdnbigbuy.com/images/3021105052173_S7196380_P30.jpg;https://cdnbigbuy.com/images/3021105052173_S7196380_P40.jpg;;;;NEW;84145100
S7196502;2662,2684;"Balls Infantino";;;;;"Children deserve the best, that's why we present to you <b>Balls Infantino</b>, ideal for those who seek quality products for their little ones! Get <b>Infantino</b> and other brands and licences at the best prices!<br><br><ul><li>Type: Balls</li><li>Colour: Multicolour</li><li>Characteristics: Develops mental and sensory capacity</li><li>Language: French</li></ul>";15678;;37.81;28.36;22.69;21;0;0773554052091;17.3;8;23.2;0.31;3;"2024-12-12 23:33:09";"2025-01-13 15:48:07";https://cdnbigbuy.com/images/0773554052091_S7196502_P00.jpg;https://cdnbigbuy.com/images/0773554052091_S7196502_P10.jpg;https://cdnbigbuy.com/images/0773554052091_S7196502_P20.jpg;;;;;;;NEW;95065900
S7924479;2662,2689;"Bi Lollipop Lifetime Strawberry";;;;;"Children deserve the best, that's why we present to you <b>Bi Lollipop Lifetime Strawberry</b>, ideal for those who seek quality products for their little ones! Get <b>Lifetime</b> and other brands and licences at the best prices!<br><br><ul><li>Design: <ul><li>Christmas</li><li>Spiral</li></ul></li><li>Type: Bi Lollipop</li><li>Flavour: Strawberry</li><li>Units: 1 Unit</li><li>Characteristics: Gluten-free</li><li>Weight: 90 g</li></ul>";16691;;5.94;4.16;2.91;21;0;8713305816284;15;3;5;0.106;239;"2024-10-03 13:12:33";"2024-12-20 07:39:17";https://cdnbigbuy.com/images/8713305816284_S7924479_P01.jpg;https://cdnbigbuy.com/images/8713305816284_S7924479_GPSRL_P11.jpg;;;;;;;;NEW;95051090
S8314811;2662,2682;"Women's Perfume Giorgio Armani My Way Parfum EDP 90 ml My Way";;;;;"<p>Let the <strong>100% original Women's Perfume Giorgio Armani My Way Parfum EDP 90 ml My Way</strong> surprise you and boost your femininity using this exclusive <strong>women's perfume</strong> with a unique, personal scent. Discover the <strong>100% original Giorgio Armani products</strong>!</p><br><br><ul><li>Capacity: 90 ml</li><li>Type: <ul><li>EDP (Eau de Parfum)</li><li>Perfume</li></ul></li><li>Gender: <ul><li>Lady</li><li>Men</li></ul></li><li>Fragrance Name: My Way</li><li>Type of fragrance: EDP</li></ul>";17080;;124.9;99.92;89.93;21;0;3614273927352;7.18;12.57;8.57;0.279;16;"2024-12-04 15:09:05";"2025-01-20 17:22:10";https://cdnbigbuy.com/images/3614273927352_S8314811_P00.jpg;;;;;;;;;NEW;33030090
S8422033;2662,2689;"Paper Fama Golden 20 x 30 cm (10 Units)";;;;;"Return to the office without forgetting a single thing! Buy <b>Paper Fama Golden 20 x 30 cm (10 Units)</b> and be the envy of your colleagues!<br><br><ul><li>Colour: Golden</li><li>Thickness: 2 mm</li><li>Units: 10 Units</li><li>Approx. dimensions: 20 x 30 cm</li></ul>";17303;;5.01;3.51;2.46;21;0;5600302713032;22.77;22.33;24.17;0.98;54;"2024-10-17 08:51:11";"2025-01-14 16:43:13";https://cdnbigbuy.com/images/S8422033_P0_icon0.jpg;https://cdnbigbuy.com/images/S8422033_P00.jpg;;;;;;;;NEW;73239200
S8422034;2662,2689;"Paper Fama Silver 20 x 30 cm (10 Units)";;;;;"Return to the office without forgetting a single thing! Buy <b>Paper Fama Silver 20 x 30 cm (10 Units)</b> and be the envy of your colleagues!<br><br><ul><li>Colour: Silver</li><li>Thickness: 2 mm</li><li>Units: 10 Units</li><li>Approx. dimensions: 20 x 30 cm</li></ul>";17303;;5.01;3.51;2.46;21;0;5600302713025;22.77;22.33;24.17;0.98;79;"2024-10-17 08:51:09";"2025-01-14 16:43:13";https://cdnbigbuy.com/images/S8422034_P0_icon0.jpg;https://cdnbigbuy.com/images/S8422034_P00.jpg;;;;;;;;NEW;73239200
S8422038;2662,2689;"Bags Fama Paper Magenta With handles 15 x 8 x 21 cm 25 Units";;;;;"Return to the office without forgetting a single thing! Buy <b>Bags Fama Paper Magenta With handles 15 x 8 x 21 cm 25 Units</b> and be the envy of your colleagues!<br><br><ul><li>Colour: Magenta</li><li>Material: Paper</li><li>Characteristics: With handles</li><li>Approx. dimensions: 15 x 8 x 21 cm</li><li>Units: 25 Units</li><li>Weight: 125 g/m²</li></ul>";17303;;9.53;6.67;5;21;0;5600985107487;36.91;28.96;27.14;6.469;14;"2024-09-17 08:17:05";"2024-10-17 08:37:09";https://cdnbigbuy.com/images/S8422038_P0_icon0.jpg;https://cdnbigbuy.com/images/S8422038_P00.jpg;;;;;;;;NEW;29362900
S8422039;2662,2689;"Bags Fama Paper With handles Light Green 15 x 8 x 21 cm 25 Units";;;;;"Return to the office without forgetting a single thing! Buy <b>Bags Fama Paper With handles Light Green 15 x 8 x 21 cm 25 Units</b> and be the envy of your colleagues!<br><br><ul><li>Material: Paper</li><li>Characteristics: With handles</li><li>Approx. dimensions: 15 x 8 x 21 cm</li><li>Colour: Light Green</li><li>Units: 25 Units</li><li>Weight: 125 g/m²</li></ul>";17303;;9.53;6.67;5;21;0;5600302712240;36.91;28.96;27.14;6.469;10;"2024-09-17 08:16:05";"2024-10-30 11:39:07";https://cdnbigbuy.com/images/S8422039_P0_icon0.jpg;https://cdnbigbuy.com/images/S8422039_P00.jpg;;;;;;;;NEW;29362900
S8422043;2662,2689;"Bags Fama 21 x 11 x 29 cm Paper Light brown With handles 25 Units";;;;;"Return to the office without forgetting a single thing! Buy <b>Bags Fama 21 x 11 x 29 cm Paper Light brown With handles 25 Units</b> and be the envy of your colleagues!<br><br><ul><li>Material: Paper</li><li>Characteristics: With handles</li><li>Colour: Light brown</li><li>Units: 25 Units</li><li>Weight: 125 g/m²</li><li>Approx. dimensions: 21 x 11 x 29 cm</li></ul>";17303;;11.43;8;6;21;0;5600302712387;36.91;28.96;27.14;6.469;7;"2024-09-17 08:16:09";"2024-11-13 17:39:07";https://cdnbigbuy.com/images/S8422043_P0_icon0.jpg;https://cdnbigbuy.com/images/S8422043_P00.jpg;;;;;;;;NEW;29362900
S8422044;2662,2689;"Bags Fama 21 x 11 x 29 cm Brown Paper With handles 25 Units";;;;;"Return to the office without forgetting a single thing! Buy <b>Bags Fama 21 x 11 x 29 cm Brown Paper With handles 25 Units</b> and be the envy of your colleagues!<br><br><ul><li>Colour: Brown</li><li>Material: Paper</li><li>Characteristics: With handles</li><li>Units: 25 Units</li><li>Weight: 125 g/m²</li><li>Approx. dimensions: 21 x 11 x 29 cm</li></ul>";17303;;11.43;8;6;21;0;5600302712394;36.91;28.96;27.14;6.469;8;"2024-09-17 08:16:10";"2025-01-09 10:55:11";https://cdnbigbuy.com/images/S8422044_P0_icon0.jpg;https://cdnbigbuy.com/images/S8422044_P00.jpg;;;;;;;;NEW;29362900
S8422045;2662,2689;"Bags Fama 21 x 11 x 29 cm Orange Paper With handles 25 Units";;;;;"Return to the office without forgetting a single thing! Buy <b>Bags Fama 21 x 11 x 29 cm Orange Paper With handles 25 Units</b> and be the envy of your colleagues!<br><br><ul><li>Colour: Orange</li><li>Material: Paper</li><li>Characteristics: With handles</li><li>Units: 25 Units</li><li>Weight: 125 g/m²</li><li>Approx. dimensions: 21 x 11 x 29 cm</li></ul>";17303;;11.43;8;6;21;0;5600302712349;36.91;28.96;27.14;6.469;7;"2025-01-04 15:04:05";"2024-12-20 11:28:17";https://cdnbigbuy.com/images/S8422045_P0_icon0.jpg;https://cdnbigbuy.com/images/S8422045_P00.jpg;;;;;;;;NEW;29362900
S8422047;2662,2689;"Bags Fama 21 x 11 x 29 cm Paper With handles 25 Units Dark green";;;;;"Return to the office without forgetting a single thing! Buy <b>Bags Fama 21 x 11 x 29 cm Paper With handles 25 Units Dark green</b> and be the envy of your colleagues!<br><br><ul><li>Material: Paper</li><li>Characteristics: With handles</li><li>Colour: Dark green</li><li>Units: 25 Units</li><li>Weight: 125 g/m²</li><li>Approx. dimensions: 21 x 11 x 29 cm</li></ul>";17303;;11.43;8;6;21;0;5600302712301;36.91;28.96;27.14;6.469;1;"2025-01-09 07:28:24";"2025-01-09 07:28:24";https://cdnbigbuy.com/images/S8422047_P0_icon0.jpg;https://cdnbigbuy.com/images/S8422047_P00.jpg;;;;;;;;NEW;29362900
S8422051;2662,2689;"Paper Bag Fama Brown With handles 125 g/m² 26 x 10 x 35 cm (25 Units)";;;;;"Return to the office without forgetting a single thing! Buy <b>Paper Bag Fama Brown With handles 125 g/m² 26 x 10 x 35 cm (25 Units)</b> and be the envy of your colleagues!<br><br><ul><li>Colour: Brown</li><li>Material: Paper</li><li>Characteristics: With handles</li><li>Units: 25 Units</li><li>Weight: 125 g/m²</li><li>Approx. dimensions: 26 x 10 x 35 cm</li></ul>";17303;;12.06;8.44;6.33;21;0;5600302712486;26;10;35;2;30;"2024-09-26 10:46:06";"2024-11-13 17:39:07";https://cdnbigbuy.com/images/S8422051_P0_icon0.jpg;https://cdnbigbuy.com/images/S8422051_P00.jpg;;;;;;;;NEW;84716070
S8422052;2662,2689;"Paper Bag Fama Brown With handles 26 x 10 x 35 cm (25 Units)";;;;;"Return to the office without forgetting a single thing! Buy <b>Paper Bag Fama Brown With handles 26 x 10 x 35 cm (25 Units)</b> and be the envy of your colleagues!<br><br><ul><li>Colour: Brown</li><li>Material: Paper</li><li>Characteristics: With handles</li><li>Units: 25 Units</li><li>Approx. dimensions: 26 x 10 x 35 cm</li></ul>";17303;;10.16;7.11;5.33;21;0;5600302712493;25.33;31.5;25.66;0.44;5;"2024-11-02 09:16:05";"2025-01-13 11:37:08";https://cdnbigbuy.com/images/s8422052_p0_icon0.jpg;https://cdnbigbuy.com/images/S8422052_P00.jpg;;;;;;;;NEW;84716070
S8422056;2662,2689;"Bags Fama Dark brown With handles 31 x 11 x 42 cm (25 Units)";;;;;"Return to the office without forgetting a single thing! Buy <b>Bags Fama Dark brown With handles 31 x 11 x 42 cm (25 Units)</b> and be the envy of your colleagues!<br><br><ul><li>Colour: Dark brown</li><li>Material: Paper</li><li>Characteristics: With handles</li><li>Units: 25 Units</li><li>Approx. dimensions: 31 x 11 x 42 cm</li></ul>";17303;;12.59;8.81;7.05;21;0;5600302712585;36.91;28.96;27.14;6.469;1;"2024-04-10 18:19:07";"2024-12-15 08:38:05";https://cdnbigbuy.com/images/S8422056_P0_icon1.jpg;https://cdnbigbuy.com/images/S8422056_P01.jpg;;;;;;;;NEW;29362900
